sample_index,company,field,cover,sampling,lab_method,date,year,P,K,Mg,pH,P_class,K_class,Mg_class,pH_class,P2O5,K2O,MgO
1328,B,17,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.36605800466392374,0.8890872288471736,0.2939957648911899,0.06640690178833476,3,3,3,3,,,
1712,B,69,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.8035815873732994,-0.8402303040099515,1.347675288426543,-0.3178789448451239,1,2,4,3,,,
707,B,0,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.6304982602549486,-0.2907275365600239,0.4696090188137487,-0.3178789448451239,3,2,3,3,,,
679,B,0,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.12891990964748073,0.9214109210501106,1.2975000730200976,1.2192644416887142,2,3,4,3,,,
755,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.30164307060970014,1.1638386125721374,0.5448718419234169,-0.702164791478586,3,3,3,3,,,
429,A,65,0.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.36623808774198985,-0.4200223053717716,-0.6342457201280497,2.141550473609019,2,3,3,4,,,
680,B,0,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.6679711998907228,0.29109892309284063,0.26890815718796723,0.45069274842179685,1,2,3,3,,,
1290,B,16,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.6849224983260449,-0.7270973812996723,0.41943380340730335,-1.4707364847455033,1,2,3,2,,,
1124,B,39,4.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.08466645063757736,0.00018569326640836497,0.9211859574717572,-0.702164791478586,2,2,4,3,,,
128,A,60,5.0,0.5,Mehlich3,2020-08-25T00:00:00,2020,0.5084489115206293,0.4365555380060568,1.021536388284648,1.6035502883221764,3,4,4,3,,,
834,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.244008655929605,-0.8887158423143569,-0.7095085432377177,-0.702164791478586,3,1,2,3,,,
1107,B,33,4.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.8508651399141356,0.11331861597668758,0.44452141111052607,-2.239308178012424,1,2,3,2,,,
1169,B,32,4.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.8576456592882641,0.5981739990207413,1.2222372499104295,-1.0864506381120447,1,2,4,2,,,
1407,B,70,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.3323354908713457,-0.9048776884158254,-0.20775638917326394,-0.3178789448451239,2,1,3,3,,,
798,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.14569112500473674,0.09715676987521912,0.11838251096863106,-0.3178789448451239,2,2,3,3,,,
1273,B,8,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.27791125280024914,0.6951450756295521,0.6201346650330849,0.06640690178833476,3,3,3,3,,,
939,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,1.3797456510961843,3.2487167596615687,-0.4837200739087135,1.987836134955635,4,4,2,3,,,
591,A,63,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.8679965214275233,-0.12910907554533932,-0.3081068199861547,0.06640690178833476,1,3,4,3,,,
590,A,63,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.4677657952758562,2.8931561454292627,2.551880458181232,0.06640690178833476,3,4,4,3,,,
1149,B,38,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.2543595180688642,0.03250938546934529,0.21873294178152183,-0.702164791478586,2,2,3,3,,,
1679,B,74,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.6035562658364989,-1.0664961494305099,-0.5088076816119362,-2.239308178012424,1,1,2,2,,,
493,A,46,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.15604198714399597,-0.6786118429952669,-0.8098589740506086,0.8349785950552555,2,2,3,3,,,
1249,B,42,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.8001913276862349,-0.7270973812996723,0.14347011867185375,-0.702164791478586,1,2,3,3,,,
1380,B,15,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,1.0407196823897427,0.8729253827457052,0.44452141111052607,1.987836134955635,4,3,3,3,,,
1540,B,6,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.1187491305862876,-0.4523459975747085,-1.1359978741925034,-1.4707364847455033,1,2,2,2,,,
1281,B,16,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.6238978239588855,-0.43618415147324,-0.057230742953927785,-0.702164791478586,1,2,3,3,,,
1433,B,31,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.14569112500473674,0.5173647685133991,0.34417098029763527,0.06640690178833476,2,2,3,3,,,
1431,B,31,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.18976450093657452,-0.5169933819805823,0.6201346650330849,0.06640690178833476,3,2,3,3,,,
820,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,1.2780378604842517,3.65276291219828,0.09329490326540836,3.5249795214894766,4,4,3,4,,,
534,A,54,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-1.2985595016847042,-0.35537492096589773,-0.057230742953927785,0.06640690178833476,1,3,4,3,,,
1642,B,18,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.4306530217962137,-1.1311435338363838,-0.935297012566722,1.2192644416887142,2,1,2,3,,,
1655,B,73,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.30842358998382907,-0.11294722944387085,-0.08231835065715047,0.06640690178833476,3,2,3,3,,,
226,A,56,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-0.8205328858086215,-0.64628815079233,-1.3366987358182851,-0.702164791478586,1,2,2,3,,,
231,A,56,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,1.6848690229319816,-0.32305122876296083,-2.5710090348168415,-1.0864506381120447,2,3,1,2,,,
694,B,0,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-1.2849984629364466,0.6466595373251467,0.04311968785896298,0.06640690178833476,1,2,3,3,,,
1474,B,75,4.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.016861256896289038,-0.9210395345172938,-0.7847713663473859,-1.4707364847455033,1,1,2,2,,,
543,A,58,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.5154095139728241,0.016347539367876824,-1.110910266489281,-0.7790219608052764,2,3,3,3,,,
163,A,55,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-1.4138283310448942,-0.5978026124879247,2.3762672042586734,0.06640690178833476,1,2,4,3,,,
843,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.08127619095051312,0.5335266146148675,0.11838251096863106,-0.702164791478586,2,2,3,3,,,
609,A,78,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-1.108704959209097,-0.32305122876296083,-0.5589828970183817,2.372121981589097,1,3,4,4,,,
266,A,59,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-0.9832653507877136,0.2264515386869668,2.1755663426328917,-1.0864506381120447,0,4,4,2,,,
148,A,48,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-0.725605614570818,0.2264515386869668,1.7992522270845515,0.45069274842179685,1,4,4,3,,,
439,A,65,0.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.4609852759017278,0.7436306139339575,0.44452141111052607,2.179979058272364,3,4,4,4,,,
807,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.21028614213702693,-0.4523459975747085,-0.08231835065715047,-0.702164791478586,2,2,3,3,,,
780,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.6374588627071431,0.2264515386869668,-0.08231835065715047,-0.3178789448451239,1,2,3,3,,,
637,A,79,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.701873796761367,0.1779660003825614,1.9497778733038875,0.45069274842179685,1,3,4,3,,,
1364,B,15,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,1.6848690229319816,2.036578302051434,-0.2579316045797093,1.987836134955635,4,4,3,3,,,
306,A,62,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-0.1187491305862876,-0.5169933819805823,0.11838251096863106,0.45069274842179685,2,2,4,3,,,
192,A,56,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-0.023821859348484048,-0.4685078436761769,-2.0717656415227097,-0.47159328349850804,2,2,1,3,,,
1428,B,31,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.38996990555144084,0.03250938546934529,-0.057230742953927785,0.8349785950552555,2,2,3,3,,,
309,A,62,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-0.4170919830479561,-0.4523459975747085,0.9713611728782026,1.6035502883221764,2,2,4,3,,,
998,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.10179783215096551,1.2769715352824167,0.44452141111052607,-0.702164791478586,2,3,3,3,,,
63,A,47,0.0,0.5,Mehlich3,2020-08-25T00:00:00,2020,0.8576456592882641,0.09715676987521912,-0.8349465817538312,0.8349785950552555,3,3,3,3,,,
900,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.4372534580922768,-1.6483226090833745,-1.0356474433796128,-0.702164791478586,3,0,2,3,,,
1722,B,23,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.8679965214275233,-1.5028659941701583,-0.18266878147004123,0.06640690178833476,1,1,3,3,,,
1105,B,33,4.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.30164307060970014,0.6628213834266152,0.19364533407829915,-0.3178789448451239,3,2,3,3,,,
1401,B,70,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.07110541188931997,-0.35537492096589773,1.2473248576136522,-0.3178789448451239,2,2,4,3,,,
1228,B,20,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.3730186071161188,0.5820121529192729,0.4696090188137487,0.06640690178833476,2,2,3,3,,,
1329,B,17,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.21688657843308976,0.6789832295280837,0.3190833725944126,-0.3178789448451239,3,2,3,3,,,
598,A,77,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.08466645063757736,-0.824068457908483,-0.35828203539260006,0.8349785950552555,2,2,4,3,,,
1197,B,3,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.6476296417683363,-0.6139644585893931,0.7204850958459756,-0.3178789448451239,1,2,3,3,,,
1004,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.5696536689658548,-0.7109355351982038,-1.0356474433796128,-1.4707364847455033,1,2,2,2,,,
1009,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,1.9221872010264909,0.32342261529577754,-0.5840705047216043,0.06640690178833476,4,2,2,3,,,
1159,B,43,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.25417943499079815,-0.38769861316883464,1.4480257192394337,-0.3178789448451239,3,2,4,3,,,
218,A,56,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-1.0273387267195508,-0.8725539962128884,-1.411961558927953,0.8349785950552555,1,2,2,3,,,
631,A,79,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.6271080005678838,0.4042318458031198,1.6989017962716606,-0.3178789448451239,3,4,4,3,,,
286,A,59,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,-0.9764848314135847,-0.43618415147324,-0.057230742953927785,-1.4707364847455033,0,3,4,2,,,
583,A,63,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.09822748938583521,3.329525990168911,2.501705242774787,1.987836134955635,2,4,4,3,,,
1659,B,73,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.522190033346953,-0.9856869189231676,-0.3331944276893774,-0.3178789448451239,2,1,3,3,,,
1721,B,23,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.8612160020533945,-1.4705423019672215,0.09329490326540836,0.06640690178833476,1,1,3,3,,,
361,A,64,5.0,0.75,Mehlich3,2020-08-25T00:00:00,2020,0.2846917721743781,0.08099492377375066,-0.9102094048634993,0.027978317124989573,3,3,3,3,,,
593,A,63,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-1.0069971685971644,0.16180415428109296,-0.03214313525070509,0.06640690178833476,1,3,4,3,,,
535,A,54,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.8001913276862349,-0.9533632267202308,0.04311968785896298,-0.3178789448451239,1,2,4,3,,,
1163,B,43,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,1.8204794104145583,4.105294603039397,1.347675288426543,0.06640690178833476,4,4,4,3,,,
613,A,78,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.07110541188931997,-0.8079066118070146,0.8710107420653118,0.45069274842179685,2,2,4,3,,,
1420,B,30,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.3694482643509885,1.3739426118912275,-0.7345961509409404,0.45069274842179685,3,3,2,3,,,
1323,B,17,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.4272627621091492,0.6143358451222098,0.41943380340730335,0.45069274842179685,2,2,3,3,,,
1376,B,15,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.49149761308530726,1.4709136885000382,0.04311968785896298,1.2192644416887142,3,4,3,3,,,
818,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.08127619095051312,-0.6624499968937985,-0.13249356606359586,-0.702164791478586,2,2,3,3,,,
1427,B,30,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-0.3289452311842812,0.24261338478843525,0.04311968785896298,-0.702164791478586,2,2,3,3,,,
1681,B,74,0.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.49488787277237195,-0.22608015215415006,-0.23284399687648663,-0.702164791478586,3,2,3,3,,,
619,A,78,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.38300930309924586,0.5012029224119307,0.04311968785896298,0.45069274842179685,3,4,4,3,,,
859,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,1.515356038578761,1.4547518423985697,0.11838251096863106,0.45069274842179685,4,3,3,3,,,
1236,B,20,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.7322060508668811,0.7759543061368944,-0.35828203539260006,-0.702164791478586,3,3,3,3,,,
538,A,54,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.6917030177001738,-0.11294722944387085,1.7741646193813287,-0.702164791478586,1,3,4,3,,,
1055,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.3391160102454746,-1.1473053799378523,-0.7847713663473859,0.45069274842179685,2,1,2,3,,,
785,B,50,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,-0.11196861121215866,1.4870755346015065,0.06820729556218567,0.45069274842179685,2,4,3,3,,,
589,A,63,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,-0.5628731495917259,0.4527173841075252,1.999953088710333,-1.0864506381120447,1,4,4,2,,,
1310,B,16,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,0.9864755273967122,-0.17759461384974468,-0.6342457201280497,0.06640690178833476,4,2,2,3,,,
873,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,1.0746222792603868,2.1820349169646502,0.49469662651697144,-0.702164791478586,4,4,3,3,,,
976,B,15,0.0,0.5,Mehlich3,2020-11-01T00:00:00,2020,0.39657034184750367,0.1456423081796245,-0.15758117376681854,-0.702164791478586,3,2,3,3,,,
1137,B,37,5.0,4.0,Mehlich3,2020-08-01T00:00:00,2020,-1.3833159938613147,-0.5169933819805823,0.41943380340730335,-2.623594024645886,0,2,3,2,,,
611,A,78,5.0,1.0,Mehlich3,2020-08-25T00:00:00,2020,0.2745209931131849,-0.4846696897776454,0.2939957648911899,0.45069274842179685,3,2,4,3,,,
